,Name,Age,Three_rtg,Two_rtg,Free_throw_rtg,Pass_rtg,draw_foul_rtg,take_three_prob,take_two_prob,make_ast_prob,turnover_prob,stamina,usageRate,rebound_rtg,steal_rtg,block_rtg,height,team
342,DAngelo Russell,27,95,74,80,96,84,92,77,95,13,90,82,66,65,67,75,LAL
343,Domantas Sabonis,27,76,95,69,98,94,26,94,99,25,97,87,99,74,76,82,SAC
344,Dario Saric,29,78,71,85,77,72,59,46,64,43,70,67,82,39,32,81,GSW
345,Marcus Sasser,23,81,64,86,82,58,52,48,72,20,67,70,51,48,16,73,DET
346,Dennis Schroder,30,84,69,81,95,85,73,75,94,9,88,75,64,65,32,73,TOT
347,Dereon Seabron,23,75,44,83,52,62,12,24,21,92,57,48,46,19,32,77,NOP
348,Alperen Sengun,21,58,88,69,92,95,36,98,88,47,92,90,96,92,82,82,HOU
349,Brice Sensabaugh,20,63,68,88,54,53,43,29,24,92,62,45,53,19,4,78,UTA
350,Collin Sexton,25,87,77,86,90,94,71,85,86,33,79,93,61,65,32,72,UTA
351,Landry Shamet,26,71,69,82,62,62,63,37,37,56,67,52,47,39,32,76,WAS
352,DayRon Sharpe,22,57,82,61,68,81,12,61,48,68,66,63,91,28,86,81,BRK
353,Shaedon Sharpe,20,76,66,82,81,91,85,82,71,78,93,71,84,74,57,76,POR
354,Ben Sheppard,22,70,62,82,50,47,47,14,18,8,61,12,49,39,4,77,IND
355,Pascal Siakam,29,71,90,74,90,94,63,95,85,25,94,85,91,65,45,80,TOT
356,Ben Simmons,27,44,81,40,94,62,3,63,92,12,77,51,94,65,76,81,BRK
357,Anfernee Simons,24,92,69,91,93,91,98,87,91,46,95,90,72,39,16,74,POR
358,Jericho Sims,25,44,77,65,48,50,3,16,15,43,64,0,69,10,57,82,NYK
359,Marcus Smart,29,74,82,76,89,86,92,66,83,73,88,77,62,99,45,74,MEM
360,Dennis Smith Jr,26,58,65,75,87,65,41,59,80,12,73,65,67,92,32,73,BRK
361,Jabari Smith Jr,20,78,73,81,68,83,77,71,48,79,91,37,95,65,86,82,HOU
362,Jalen Smith,23,84,89,68,58,75,49,58,32,74,70,53,88,10,76,81,IND
363,Nick Smith Jr,19,87,49,84,64,45,56,42,41,62,66,46,49,10,32,77,CHO
364,Terquavion Smith,21,78,45,66,52,45,51,8,21,21,53,85,40,48,4,74,PHI
365,Jeremy Sochan,20,67,69,77,85,77,54,77,76,54,87,58,90,65,67,80,SAS
366,Jaden Springer,21,50,52,82,54,60,24,31,24,78,58,54,51,56,45,75,TOT
367,Lamar Stevens,26,71,63,74,46,65,21,59,11,94,61,62,65,28,67,78,TOT
368,Isaiah Stewart,22,78,77,75,70,77,69,61,51,84,89,21,92,28,86,79,DET
369,Julian Strawther,21,64,55,72,58,53,57,26,32,19,61,54,47,28,32,78,DEN
370,Max Strus,27,80,73,78,87,69,94,52,80,26,91,47,83,74,67,77,CLE
371,Jalen Suggs,22,88,73,75,79,76,81,58,67,74,81,60,68,96,76,75,ORL
372,Cole Swider,24,56,70,65,44,43,34,3,7,92,52,72,41,5,16,81,MIA
373,JaeSean Tate,28,57,68,68,56,53,28,35,28,43,68,3,67,56,32,76,HOU
374,Jayson Tatum,25,88,83,83,91,97,97,91,87,46,98,92,95,82,76,79,BOS
375,Terry Taylor,24,49,69,66,42,42,14,12,4,87,54,1,48,10,16,77,CHI
376,Dalen Terry,21,52,67,64,62,55,26,12,37,30,58,26,51,28,32,78,CHI
377,Cam Thomas,22,84,72,83,80,93,86,92,68,68,88,91,65,56,32,75,BRK
378,Amen Thompson,21,46,83,65,77,80,26,65,63,61,73,62,88,92,82,78,HOU
379,Ausar Thompson,21,48,82,59,73,77,36,71,57,70,79,39,90,88,89,78,DET
